n_space,n_time,mae,rmse,max_abs_error
50,100,0.021964540530061208,0.02662704409652224,0.05534134127247681
100,200,0.015399905045604421,0.020672896355323708,0.0399968625451077
200,400,0.0037758587246136182,0.005105068343179704,0.010006951852076895
400,800,0.0009525591051280729,0.0012817992418112684,0.002498266787734238
