payoff,dimension,train_seconds,nn_seconds_per_query,mc4096_seconds_per_query,break_even_queries_est,mae,rmse,relative_l2,max_abs_error
basket,1,2.251295784999968,1.7228892799994356e-06,0.0002148466640621,10563.325407038235,0.0942362963668688,0.1054921683680786,0.0087642087326525,0.1868324655915625
basket,2,2.571286020999992,1.4901945799999794e-06,0.0004390007265624,5877.083711217196,0.1041044118327855,0.1309739417060576,0.0139502798066815,0.3930704654592389
basket,5,2.832376141999987,1.1316033200000674e-06,0.0004955142499998,5729.117235448366,0.0658729337121124,0.0805389236961214,0.0109507190442544,0.2675006177428347
basket,10,2.7512813349999874,3.979549200005295e-07,0.0008623247109373,3192.012912689393,0.0518877335846185,0.0669206598977733,0.0092838513927712,0.1503782400185951
basket,20,3.567712861000018,2.490470999998706e-07,0.0023835722812499,1496.948802361033,0.0418589743151275,0.0565946199168327,0.0088088111122487,0.2503071797195879
basket,50,5.0045182169999975,4.5329540000011547e-07,0.0040776592187503,1227.4381797443368,0.0523699163556391,0.0673145798073678,0.0127965157565832,0.1626084806626364
max,1,2.719645062999973,1.9534546000045338e-07,1.5147015625327498e-05,181895.7369262222,0.125869470058872,0.1639420034156448,0.0115480762247764,0.4523099339720673
max,2,2.4234136149999586,3.202030800002831e-07,0.0002814152109378,8621.332813657285,0.1186227977921032,0.1455090799389528,0.0065498000781162,0.4730150166679436
max,5,2.469273003000012,1.822791199992935e-07,0.0002635332890625,9376.356686607374,0.3883476118654794,0.5068689511698814,0.014619960933068,1.753785415578303
max,10,7.246292778999987,3.955403199995544e-07,0.0010403287109377324,6968.036969813744,0.8374580617121613,0.9810849793219478,0.021955960657497088,2.540024648038269
max,20,3.9252274799999896,5.366969800002153e-07,0.0040793491015622685,962.3456758124653,0.8571485350004044,1.014780626175021,0.018344462343254007,2.50482351502513
max,50,5.493792326999994,4.2395248000048014e-07,0.004374488453124936,1255.9925273598412,1.0727186906366963,1.4004086539843386,0.02050360217726569,3.7057738298321823
