step,loss,rmse_price_batch
1,0.03289904072880745,18.138092041015625
50,0.0023984110448509455,4.89735746383667
100,0.002572654513642192,5.072134494781494
150,0.002789362333714962,5.2814412117004395
200,0.002828753786161542,5.318603038787842
250,0.002578859915956855,5.078247547149658
300,0.002828461118042469,5.318327903747559
350,0.0030844404827803373,5.553773880004883
400,0.0026295031420886517,5.127868175506592
450,0.0024507849011570215,4.950540065765381
500,0.0024503287859261036,4.950079917907715
550,0.0023444306571036577,4.84193229675293
600,0.002992879133671522,5.470721244812012
650,0.0028406349010765553,5.329760551452637
700,0.0025215044151991606,5.021458625793457
750,0.0027548945508897305,5.248709201812744
800,0.0025188070721924305,5.018771648406982
850,0.0027332559693604708,5.228055000305176
900,0.0024855039082467556,4.985483169555664
950,0.0025900702457875013,5.089273452758789
1000,0.002862817607820034,5.350530624389648
1050,0.002432434819638729,4.931972026824951
1100,0.002585237380117178,5.084522724151611
1150,0.0027008820325136185,5.1970014572143555
1200,0.0027036957908421755,5.199707508087158
1250,0.002718196716159582,5.213632583618164
1300,0.0031696073710918427,5.629926681518555
1350,0.0025325934402644634,5.032487869262695
1400,0.002639422658830881,5.137531280517578
1450,0.0026785533409565687,5.175474166870117
1500,0.0028720980044454336,5.359195709228516
1550,0.0030487640760838985,5.521561622619629
1600,0.0027364247944206,5.231084823608398
1650,0.0029697390273213387,5.449531078338623
1700,0.0027564174961298704,5.250159740447998
1750,0.002827809890732169,5.317715644836426
1800,0.0023728767409920692,4.871218204498291
