n_steps,dt,strong_rmse,fitted_slope
4,0.25,1.5595379412630421,0.5071897274294991
8,0.125,1.0891779146542724,0.5071897274294991
16,0.0625,0.7666345753333148,0.5071897274294991
32,0.03125,0.5399895577122742,0.5071897274294991
64,0.015625,0.3789662761996434,0.5071897274294991
128,0.0078125,0.2675138282644481,0.5071897274294991
256,0.00390625,0.18901079877577867,0.5071897274294991
